Bug Name,Bug ID,AR,FR
Defects4J,Csv_2,4,4
Defects4J,Csv_1,6,6
Defects4J,Compress_1,89,89
Defects4J,Csv_3,25,25
Defects4J,Csv_4,1,1
Defects4J,Codec_2,9,9
Defects4J,Codec_3,206,206
QuixBugs,FLATTEN,5.5,5
QuixBugs,LCS_LENGTH,1,1
QuixBugs,SHUNTING_YARD,15,15
QuixBugs,IS_VALID_PARENTHESIZATION,2,2
QuixBugs,SUBSEQUENCES,9,9
QuixBugs,TO_BASE,1,1
QuixBugs,GET_FACTORS,2,2
Bears,Bears-141,4,2
Bears,Bears-143,27,26
Bears,Bears-137,1,1
Bears,Bears-131,2,1
Bears,Bears-130,1,1
Bears,Bears-21,2.5,1
BugSwarm,commons-lang-224267191,21.57142857,19
BugSwarm,owlapi-158989792,11,11
BugSwarm,byte-buddy-140517155,24.73333333,23
BugSwarm,mp4parser-107859078,100.50,1
