Bugname,total pass,total fail,line no,pass cover,fail cover,suspiciousness_score,rank,,,,,
byte-buddy-140517155,257,167,75,54,65,0.6494188081,1,,ClassFileLocator,,,23
,257,167,309,247,277,0.6331400416,2,,,,,23
,257,167,323,247,277,0.6331400416,2,,,,,25
,257,167,324,247,277,0.6331400416,2,,,,,25
,257,167,326,247,277,0.6331400416,2,,,,,25
,257,167,321,248,277,0.6322010568,6,,,,,25
,257,167,322,248,277,0.6322010568,6,,,,,25
,257,167,287,252,277,0.6284728046,8,,,,,25
,257,167,266,255,277,0.6257053457,9,,,,,25
,257,167,126,256,277,0.6247882676,10,,,,,25
,257,167,131,256,277,0.6247882676,10,,,,,25
,257,167,137,256,277,0.6247882676,10,,,,,25
,257,167,80,53,24,0.4106798056,13,,,,,25
,257,167,225,68,24,0.3519744351,14,,,,,25
,257,167,226,68,24,0.3519744351,14,,,,,25
,257,167,1217,68,24,0.3519744351,14,,,,,24.73333333
,257,167,1218,68,24,0.3519744351,14,,,,,
,257,167,1219,68,24,0.3519744351,14,,,,,
,257,167,1220,68,24,0.3519744351,14,,,,,"23,24.73333333"
,257,167,197,76,24,0.3270413574,20,,,,,
,257,167,220,76,24,0.3270413574,20,,,,,
,257,167,1212,76,24,0.3270413574,20,,,,,
,257,167,300,37,1,0.03993163456,23,,,,,
,257,167,301,37,1,0.03993163456,23,,,,,
,257,167,85,1,0,0,25,,,,,
,257,167,90,1,0,0,25,,,,,
,257,167,91,1,0,0,25,,,,,
,257,167,92,1,0,0,25,,,,,
,257,167,93,1,0,0,25,,,,,
,257,167,98,1,0,0,25,,,,,
,257,167,103,1,0,0,25,,,,,
,257,167,142,5,0,0,25,,,,,
,257,167,148,3,0,0,25,,,,,
,257,167,153,3,0,0,25,,,,,
,257,167,172,2,0,0,25,,,,,
,257,167,177,1,0,0,25,,,,,
,257,167,208,2,0,0,25,,,,,
,257,167,233,5,0,0,25,,,,,
,257,167,239,3,0,0,25,,,,,
,257,167,244,3,0,0,25,,,,,
,257,167,275,3,0,0,25,,,,,
,257,167,329,1,0,0,25,,,,,
