Bugname,total pass,total fail,line no,pass cover,fail cover,suspiciousness_score,rank,,,,,
commons-lang-224267388,148,2,987,2,2,0.9866666667,1,,,,,
commons-lang-224267389,148,2,991,2,2,0.9866666667,1,,,,,
commons-lang-224267390,148,2,992,2,2,0.9866666667,1,,,,,
commons-lang-224267391,148,2,993,2,2,0.9866666667,1,,,,,
commons-lang-224267392,148,2,994,2,2,0.9866666667,1,,,,,19
commons-lang-224267393,148,2,995,2,2,0.9866666667,1,,,,,19
commons-lang-224267394,148,2,996,2,2,0.9866666667,1,,,,,19
commons-lang-224267395,148,2,998,2,2,0.9866666667,1,,,,,19
commons-lang-224267396,148,2,999,2,2,0.9866666667,1,,,,,19
commons-lang-224267397,148,2,1000,2,2,0.9866666667,1,,,,,27
commons-lang-224267398,148,2,1001,2,2,0.9866666667,1,,,,,29
commons-lang-224267399,148,2,1003,2,2,0.9866666667,1,,,,,21.57142857
commons-lang-224267400,148,2,1005,2,2,0.9866666667,1,,,,,
commons-lang-224267401,148,2,1008,2,2,0.9866666667,1,,,,,
commons-lang-224267402,148,2,1010,2,2,0.9866666667,1,,,,,
commons-lang-224267403,148,2,1012,2,2,0.9866666667,1,,,,,"19, 21.57142857"
commons-lang-224267369,148,2,913,4,2,0.9736842105,17,,,,,
commons-lang-224267359,148,2,881,8,2,0.9487179487,18,,,,,
commons-lang-224267362,148,2,905,9,2,0.9426751592,19,,,,,
commons-lang-224267363,148,2,907,9,2,0.9426751592,19,,,,,
commons-lang-224267364,148,2,908,9,2,0.9426751592,19,,,,,
commons-lang-224267365,148,2,909,9,2,0.9426751592,19,,,,,
commons-lang-224267366,148,2,910,9,2,0.9426751592,19,,,,,
commons-lang-224267367,148,2,911,9,2,0.9426751592,19,,,,,
commons-lang-224267368,148,2,912,9,2,0.9426751592,19,,,,,
commons-lang-224267370,148,2,917,9,2,0.9426751592,19,,,,,
commons-lang-224267358,148,2,879,11,2,0.9308176101,27,,,,,
commons-lang-224267361,148,2,904,11,2,0.9308176101,27,,,,,
commons-lang-224267360,148,2,903,15,2,0.9079754601,29,,,,,
commons-lang-224267191,148,2,71,7,0,0,30,,,,,
commons-lang-224267192,148,2,95,25,0,0,30,,,,,
commons-lang-224267193,148,2,118,27,0,0,30,,,,,
commons-lang-224267194,148,2,146,12,0,0,30,,,,,
commons-lang-224267195,148,2,147,12,0,0,30,,,,,
commons-lang-224267196,148,2,148,12,0,0,30,,,,,
commons-lang-224267197,148,2,177,5,0,0,30,,,,,
commons-lang-224267198,148,2,178,5,0,0,30,,,,,
commons-lang-224267199,148,2,179,5,0,0,30,,,,,
commons-lang-224267200,148,2,204,72,0,0,30,,,,,
commons-lang-224267201,148,2,205,72,0,0,30,,,,,
commons-lang-224267202,148,2,207,72,0,0,30,,,,,
commons-lang-224267203,148,2,208,72,0,0,30,,,,,
commons-lang-224267204,148,2,210,72,0,0,30,,,,,
commons-lang-224267205,148,2,211,14,0,0,30,,,,,
commons-lang-224267206,148,2,212,14,0,0,30,,,,,
commons-lang-224267207,148,2,214,7,0,0,30,,,,,
commons-lang-224267208,148,2,215,2,0,0,30,,,,,
commons-lang-224267209,148,2,218,58,0,0,30,,,,,
commons-lang-224267210,148,2,219,58,0,0,30,,,,,
commons-lang-224267211,148,2,223,64,0,0,30,,,,,
commons-lang-224267212,148,2,224,56,0,0,30,,,,,
commons-lang-224267213,148,2,228,8,0,0,30,,,,,
commons-lang-224267214,148,2,230,8,0,0,30,,,,,
commons-lang-224267215,148,2,256,38,0,0,30,,,,,
commons-lang-224267216,148,2,280,26,0,0,30,,,,,
commons-lang-224267217,148,2,303,6,0,0,30,,,,,
commons-lang-224267218,148,2,304,6,0,0,30,,,,,
commons-lang-224267219,148,2,305,6,0,0,30,,,,,
commons-lang-224267220,148,2,331,34,0,0,30,,,,,
commons-lang-224267221,148,2,332,34,0,0,30,,,,,
commons-lang-224267222,148,2,333,34,0,0,30,,,,,
commons-lang-224267223,148,2,335,30,0,0,30,,,,,
commons-lang-224267224,148,2,336,1,0,0,30,,,,,
commons-lang-224267225,148,2,340,1,0,0,30,,,,,
commons-lang-224267226,148,2,366,1,0,0,30,,,,,
commons-lang-224267227,148,2,367,1,0,0,30,,,,,
commons-lang-224267228,148,2,368,1,0,0,30,,,,,
commons-lang-224267229,148,2,369,1,0,0,30,,,,,
commons-lang-224267230,148,2,370,1,0,0,30,,,,,
commons-lang-224267231,148,2,373,1,0,0,30,,,,,
commons-lang-224267232,148,2,403,2,0,0,30,,,,,
commons-lang-224267233,148,2,404,2,0,0,30,,,,,
commons-lang-224267234,148,2,405,2,0,0,30,,,,,
commons-lang-224267235,148,2,434,2,0,0,30,,,,,
commons-lang-224267236,148,2,435,2,0,0,30,,,,,
commons-lang-224267237,148,2,436,2,0,0,30,,,,,
commons-lang-224267238,148,2,438,2,0,0,30,,,,,
commons-lang-224267239,148,2,439,1,0,0,30,,,,,
commons-lang-224267240,148,2,442,2,0,0,30,,,,,
commons-lang-224267241,148,2,443,2,0,0,30,,,,,
commons-lang-224267242,148,2,447,10,0,0,30,,,,,
commons-lang-224267243,148,2,448,4,0,0,30,,,,,
commons-lang-224267244,148,2,449,4,0,0,30,,,,,
commons-lang-224267245,148,2,451,10,0,0,30,,,,,
commons-lang-224267246,148,2,465,6,0,0,30,,,,,
commons-lang-224267247,148,2,472,6,0,0,30,,,,,
commons-lang-224267248,148,2,475,6,0,0,30,,,,,
commons-lang-224267249,148,2,478,6,0,0,30,,,,,
commons-lang-224267250,148,2,479,6,0,0,30,,,,,
commons-lang-224267251,148,2,481,6,0,0,30,,,,,
commons-lang-224267252,148,2,483,6,0,0,30,,,,,
commons-lang-224267253,148,2,485,6,0,0,30,,,,,
commons-lang-224267254,148,2,487,4,0,0,30,,,,,
commons-lang-224267255,148,2,491,6,0,0,30,,,,,
commons-lang-224267256,148,2,494,6,0,0,30,,,,,
commons-lang-224267257,148,2,518,1,0,0,30,,,,,
commons-lang-224267258,148,2,519,1,0,0,30,,,,,
commons-lang-224267259,148,2,520,1,0,0,30,,,,,
commons-lang-224267260,148,2,537,38,0,0,30,,,,,
commons-lang-224267261,148,2,538,38,0,0,30,,,,,
commons-lang-224267262,148,2,541,38,0,0,30,,,,,
commons-lang-224267263,148,2,554,21,0,0,30,,,,,
commons-lang-224267264,148,2,555,2,0,0,30,,,,,
commons-lang-224267265,148,2,558,19,0,0,30,,,,,
commons-lang-224267266,148,2,559,19,0,0,30,,,,,
commons-lang-224267267,148,2,560,19,0,0,30,,,,,
commons-lang-224267268,148,2,562,1,0,0,30,,,,,
commons-lang-224267269,148,2,563,3,0,0,30,,,,,
commons-lang-224267270,148,2,566,3,0,0,30,,,,,
commons-lang-224267271,148,2,570,3,0,0,30,,,,,
commons-lang-224267272,148,2,571,1,0,0,30,,,,,
commons-lang-224267273,148,2,574,3,0,0,30,,,,,
commons-lang-224267274,148,2,589,1,0,0,30,,,,,
commons-lang-224267275,148,2,590,1,0,0,30,,,,,
commons-lang-224267276,148,2,591,1,0,0,30,,,,,
commons-lang-224267277,148,2,592,1,0,0,30,,,,,
commons-lang-224267278,148,2,593,1,0,0,30,,,,,
commons-lang-224267279,148,2,595,1,0,0,30,,,,,
commons-lang-224267280,148,2,621,3,0,0,30,,,,,
commons-lang-224267281,148,2,624,3,0,0,30,,,,,
commons-lang-224267282,148,2,625,3,0,0,30,,,,,
commons-lang-224267283,148,2,627,3,0,0,30,,,,,
commons-lang-224267284,148,2,628,1,0,0,30,,,,,
commons-lang-224267285,148,2,631,2,0,0,30,,,,,
commons-lang-224267286,148,2,632,2,0,0,30,,,,,
commons-lang-224267287,148,2,648,1,0,0,30,,,,,
commons-lang-224267288,148,2,675,63,0,0,30,,,,,
commons-lang-224267289,148,2,676,63,0,0,30,,,,,
commons-lang-224267290,148,2,677,5,0,0,30,,,,,
commons-lang-224267291,148,2,678,5,0,0,30,,,,,
commons-lang-224267292,148,2,682,63,0,0,30,,,,,
commons-lang-224267293,148,2,683,63,0,0,30,,,,,
commons-lang-224267294,148,2,684,63,0,0,30,,,,,
commons-lang-224267295,148,2,686,63,0,0,30,,,,,
commons-lang-224267296,148,2,689,12,0,0,30,,,,,
commons-lang-224267297,148,2,690,12,0,0,30,,,,,
commons-lang-224267298,148,2,694,12,0,0,30,,,,,
commons-lang-224267299,148,2,698,63,0,0,30,,,,,
commons-lang-224267300,148,2,699,12,0,0,30,,,,,
commons-lang-224267301,148,2,702,63,0,0,30,,,,,
commons-lang-224267302,148,2,703,5,0,0,30,,,,,
commons-lang-224267303,148,2,704,5,0,0,30,,,,,
commons-lang-224267304,148,2,705,5,0,0,30,,,,,
commons-lang-224267305,148,2,706,5,0,0,30,,,,,
commons-lang-224267306,148,2,707,5,0,0,30,,,,,
commons-lang-224267307,148,2,709,5,0,0,30,,,,,
commons-lang-224267308,148,2,711,1,0,0,30,,,,,
commons-lang-224267309,148,2,715,63,0,0,30,,,,,
commons-lang-224267310,148,2,730,14,0,0,30,,,,,
commons-lang-224267311,148,2,731,14,0,0,30,,,,,
commons-lang-224267312,148,2,734,8,0,0,30,,,,,
commons-lang-224267313,148,2,735,8,0,0,30,,,,,
commons-lang-224267314,148,2,736,8,0,0,30,,,,,
commons-lang-224267315,148,2,737,8,0,0,30,,,,,
commons-lang-224267316,148,2,740,8,0,0,30,,,,,
commons-lang-224267317,148,2,741,8,0,0,30,,,,,
commons-lang-224267318,148,2,742,8,0,0,30,,,,,
commons-lang-224267319,148,2,744,3,0,0,30,,,,,
commons-lang-224267320,148,2,745,8,0,0,30,,,,,
commons-lang-224267321,148,2,747,1,0,0,30,,,,,
commons-lang-224267322,148,2,748,1,0,0,30,,,,,
commons-lang-224267323,148,2,749,1,0,0,30,,,,,
commons-lang-224267324,148,2,751,1,0,0,30,,,,,
commons-lang-224267325,148,2,756,6,0,0,30,,,,,
commons-lang-224267326,148,2,767,2,0,0,30,,,,,
commons-lang-224267327,148,2,769,2,0,0,30,,,,,
commons-lang-224267328,148,2,770,1,0,0,30,,,,,
commons-lang-224267329,148,2,772,2,0,0,30,,,,,
commons-lang-224267330,148,2,774,2,0,0,30,,,,,
commons-lang-224267331,148,2,775,1,0,0,30,,,,,
commons-lang-224267332,148,2,776,2,0,0,30,,,,,
commons-lang-224267333,148,2,778,2,0,0,30,,,,,
commons-lang-224267334,148,2,780,2,0,0,30,,,,,
commons-lang-224267335,148,2,784,2,0,0,30,,,,,
commons-lang-224267336,148,2,796,3,0,0,30,,,,,
commons-lang-224267337,148,2,797,2,0,0,30,,,,,
commons-lang-224267338,148,2,798,2,0,0,30,,,,,
commons-lang-224267339,148,2,800,2,0,0,30,,,,,
commons-lang-224267340,148,2,802,2,0,0,30,,,,,
commons-lang-224267341,148,2,804,2,0,0,30,,,,,
commons-lang-224267342,148,2,806,2,0,0,30,,,,,
commons-lang-224267343,148,2,807,2,0,0,30,,,,,
commons-lang-224267344,148,2,808,2,0,0,30,,,,,
commons-lang-224267345,148,2,809,2,0,0,30,,,,,
commons-lang-224267346,148,2,810,2,0,0,30,,,,,
commons-lang-224267347,148,2,811,2,0,0,30,,,,,
commons-lang-224267348,148,2,813,2,0,0,30,,,,,
commons-lang-224267349,148,2,819,2,0,0,30,,,,,
commons-lang-224267350,148,2,820,2,0,0,30,,,,,
commons-lang-224267351,148,2,821,2,0,0,30,,,,,
commons-lang-224267352,148,2,822,2,0,0,30,,,,,
commons-lang-224267353,148,2,823,2,0,0,30,,,,,
commons-lang-224267354,148,2,827,2,0,0,30,,,,,
commons-lang-224267355,148,2,829,2,0,0,30,,,,,
commons-lang-224267356,148,2,844,9,0,0,30,,,,,
commons-lang-224267357,148,2,859,4,0,0,30,,,,,
commons-lang-224267371,148,2,946,7,0,0,30,,,,,
commons-lang-224267372,148,2,947,5,0,0,30,,,,,
commons-lang-224267373,148,2,948,4,0,0,30,,,,,
commons-lang-224267374,148,2,949,2,0,0,30,,,,,
commons-lang-224267375,148,2,952,4,0,0,30,,,,,
