Bugname,total pass,total fail,line no,pass cover,fail cover,suspiciousness_score,rank,,
,57,6,50,24,0,0,15,,
,57,6,54,1,0,0,15,,
,57,6,58,5,0,0,15,,
,57,6,62,8,0,0,15,,
mp4parser-133036862,57,6,46,57,6,0.5,14,,
,57,6,112,27,6,0.6785714286,9,,
,57,6,113,27,6,0.6785714286,9,,
,57,6,114,27,6,0.6785714286,9,,"1,1"
,57,6,115,27,6,0.6785714286,9,,
,57,6,117,27,6,0.6785714286,9,,
,57,6,84,8,6,0.8769230769,7,,
,57,6,85,8,6,0.8769230769,7,,
,57,6,102,6,6,0.9047619048,6,,
,57,6,86,0,6,1,1,,
,57,6,87,0,6,1,1,,
,57,6,88,0,6,1,1,,
,57,6,89,0,6,1,1,,
,57,6,90,0,6,1,1,,
