Bugname,id,total pass,total fail,line no,pass cover,fail cover,suspiciousness_score,Rank,AVG Rank,High Rank,,
Bears,143,196,1,131,1,2,0.9974554707,1,65,64,29,
Bears,143,196,1,132,1,2,0.9974554707,1,,,29,
Bears,143,196,1,235,2,2,0.9949238579,3,,,28,28
Bears,143,196,1,236,2,2,0.9949238579,3,,,28,
Bears,143,196,1,173,5,2,0.9874055416,5,,,27,
Bears,143,196,1,174,5,2,0.9874055416,5,,,27,
Bears,143,196,1,123,6,2,0.9849246231,7,,,26,26
Bears,143,196,1,124,6,2,0.9849246231,7,,,26,
Bears,143,196,1,231,3,1,0.9849246231,7,,,26,
Bears,143,196,1,232,3,1,0.9849246231,7,,,26,
Bears,143,196,1,155,10,3,0.983277592,11,,,25,
Bears,143,196,1,156,10,3,0.983277592,11,,,25,
Bears,143,196,1,239,8,2,0.98,13,,,24,
Bears,143,196,1,240,8,2,0.98,13,,,24,
Bears,143,196,1,139,14,3,0.976744186,15,,,23,
Bears,143,196,1,140,14,3,0.976744186,15,,,23,
Bears,143,196,1,147,11,2,0.9727047146,17,,,22,
Bears,143,196,1,148,11,2,0.9727047146,17,,,22,
Bears,143,196,1,219,11,2,0.9727047146,17,,,22,
Bears,143,196,1,220,11,2,0.9727047146,17,,,22,
Bears,143,196,1,100,21,3,0.9655172414,21,,,21,
Bears,143,196,1,102,21,3,0.9655172414,21,,,21,
Bears,143,196,1,104,21,3,0.9655172414,21,,,21,
Bears,143,196,1,207,8,1,0.9607843137,24,,,20,
Bears,143,196,1,208,8,1,0.9607843137,24,,,20,
Bears,143,196,1,163,19,2,0.9537712895,26,,,19,
Bears,143,196,1,164,19,2,0.9537712895,26,,,19,
Bears,143,196,1,223,10,1,0.9514563107,28,,,18,
Bears,143,196,1,224,10,1,0.9514563107,28,,,18,
Bears,143,196,1,135,21,2,0.9491525424,30,,,17,
Bears,143,196,1,136,21,2,0.9491525424,30,,,17,
Bears,143,196,1,151,11,1,0.9468599034,32,,,16,
Bears,143,196,1,152,11,1,0.9468599034,32,,,16,
Bears,143,196,1,187,23,2,0.9445783133,34,,,15,
Bears,143,196,1,189,23,2,0.9445783133,34,,,15,
Bears,143,196,1,192,23,2,0.9445783133,34,,,15,
Bears,143,196,1,194,23,2,0.9445783133,34,,,15,
Bears,143,196,1,197,23,2,0.9445783133,34,,,15,
Bears,143,196,1,199,23,2,0.9445783133,34,,,15,
Bears,143,196,1,202,23,2,0.9445783133,34,,,15,
Bears,143,196,1,204,23,2,0.9445783133,34,,,15,
Bears,143,196,1,107,52,4,0.9377990431,42,,,14,
Bears,143,196,1,108,52,4,0.9377990431,42,,,14,
Bears,143,196,1,111,13,1,0.9377990431,42,,,14,
Bears,143,196,1,112,13,1,0.9377990431,42,,,14,
Bears,143,196,1,227,28,2,0.9333333333,46,,,13,
Bears,143,196,1,228,28,2,0.9333333333,46,,,13,
Bears,143,196,1,211,29,2,0.9311163895,48,,,12,
Bears,143,196,1,212,29,2,0.9311163895,48,,,12,
Bears,143,196,1,159,30,2,0.9289099526,50,,,11,
Bears,143,196,1,160,30,2,0.9289099526,50,,,11,
Bears,143,196,1,177,15,1,0.9289099526,50,,,11,
Bears,143,196,1,178,15,1,0.9289099526,50,,,11,
Bears,143,196,1,127,17,1,0.9201877934,54,,,10,
Bears,143,196,1,128,17,1,0.9201877934,54,,,10,
Bears,143,196,1,215,44,2,0.8990825688,56,,,9,
Bears,143,196,1,216,44,2,0.8990825688,56,,,9,
Bears,143,196,1,119,25,1,0.8868778281,58,,,8,
Bears,143,196,1,120,25,1,0.8868778281,58,,,8,
Bears,143,196,1,96,83,3,0.8763040238,60,,,7,
Bears,143,196,1,97,83,3,0.8763040238,60,,,7,
Bears,143,196,1,170,146,4,0.8430107527,62,,,6,
Bears,143,196,1,167,147,4,0.8421052632,63,,,5,
Bears,143,196,1,144,156,3,0.7903225806,64,,,4,
Bears,143,196,1,143,157,3,0.789261745,65,,,3,
Bears,143,196,1,81,127,1,0.6068111455,66,,,2,
Bears,143,196,1,88,127,1,0.6068111455,66,,,2,
Bears,143,196,1,89,127,1,0.6068111455,66,,,2,
Bears,143,196,1,90,127,1,0.6068111455,66,,,2,
Bears,143,196,1,91,127,1,0.6068111455,66,,,2,
Bears,143,196,1,92,127,1,0.6068111455,66,,,2,
Bears,143,196,1,93,127,1,0.6068111455,66,,,2,
Bears,143,196,1,115,11,0,0,73,,,1,
Bears,143,196,1,116,11,0,0,73,,,1,
Bears,143,196,1,181,71,0,0,73,,,1,
Bears,143,196,1,184,71,0,0,73,,,1,
Bears,143,196,1,243,25,0,0,73,,,1,
Bears,143,196,1,245,25,0,0,73,,,1,
Bears,143,196,1,246,25,0,0,73,,,1,
Bears,143,196,1,261,25,0,0,73,,,1,
