Bugname,id,total pass,total fail,line no,pass cover,fail cover,suspiciousness_score,Rank,AVG Rank,High Rank
Bears,222,2956,1,162,54,10,0.9981765381,1,26.33333333,23
Bears,222,2956,1,163,54,10,0.9981765381,1,,
Bears,222,2956,1,164,54,10,0.9981765381,1,,
Bears,222,2956,1,161,61,11,0.9981275133,4,,
Bears,222,2956,1,99,6,1,0.9979743417,5,,
Bears,222,2956,1,101,6,1,0.9979743417,5,,
Bears,222,2956,1,135,7,1,0.9976375295,7,,
Bears,222,2956,1,136,7,1,0.9976375295,7,,
Bears,222,2956,1,137,7,1,0.9976375295,7,,
Bears,222,2956,1,146,7,1,0.9976375295,7,,
Bears,222,2956,1,150,7,1,0.9976375295,7,,
Bears,222,2956,1,152,7,1,0.9976375295,7,,
Bears,222,2956,1,158,7,1,0.9976375295,7,,
Bears,222,2956,1,159,7,1,0.9976375295,7,,
Bears,222,2956,1,127,9,1,0.9969645868,15,,
Bears,222,2956,1,130,9,1,0.9969645868,15,,
Bears,222,2956,1,132,9,1,0.9969645868,15,,
Bears,222,2956,1,120,12,1,0.9959568733,18,,
Bears,222,2956,1,121,12,1,0.9959568733,18,,
Bears,222,2956,1,124,12,1,0.9959568733,18,,
Bears,222,2956,1,114,14,1,0.9952861953,21,,
Bears,222,2956,1,117,14,1,0.9952861953,21,,
Bears,222,2956,1,168,54,1,0.9820598007,23,,
Bears,222,2956,1,169,54,1,0.9820598007,23,,
Bears,222,2956,1,167,61,1,0.9797812396,25,,
Bears,222,2956,1,172,132,1,0.957253886,26,,
Bears,222,2956,1,171,186,1,0.9408020369,27,,
Bears,222,2956,1,118,2,0,0,28,,
Bears,222,2956,1,125,3,0,0,28,,
Bears,222,2956,1,133,2,0,0,28,,
Bears,222,2956,1,177,23,0,0,28,,
Bears,222,2956,1,178,148,0,0,28,,
Bears,222,2956,1,179,132,0,0,28,,
Bears,222,2956,1,180,132,0,0,28,,
Bears,222,2956,1,182,132,0,0,28,,
Bears,222,2956,1,183,48,0,0,28,,
Bears,222,2956,1,184,48,0,0,28,,
Bears,222,2956,1,185,15,0,0,28,,
Bears,222,2956,1,186,14,0,0,28,,
Bears,222,2956,1,188,15,0,0,28,,
Bears,222,2956,1,85,0,0,Error,#VALUE!,,
Bears,222,2956,1,87,0,0,Error,#VALUE!,,
Bears,222,2956,1,122,0,0,Error,#VALUE!,,
Bears,222,2956,1,128,0,0,Error,#VALUE!,,
Bears,222,2956,1,151,0,0,Error,#VALUE!,,
Bears,222,2956,1,153,0,0,Error,#VALUE!,,
Bears,222,2956,1,154,0,0,Error,#VALUE!,,
