Bugname,id,total pass,total fail,line no,pass cover,fail cover,suspiciousness_score,rank,new_rank,,
Codec,3,13,70,926,1,69,0.9276111686,1,1,,
Codec,3,13,70,215,1,42,0.8863636364,2,2,,
Codec,3,13,70,89,2,80,0.8813559322,3,3,,
Codec,3,13,70,262,1,36,0.8698884758,4,4,,
Codec,3,13,70,65,3,69,0.810298103,5,5,,
Codec,3,13,70,75,3,64,0.7984644914,6,6,,
Codec,3,13,70,184,4,50,0.6989247312,7,7,,
Codec,3,13,70,185,4,50,0.6989247312,7,7,,
Codec,3,13,70,186,4,50,0.6989247312,7,7,,"Codec_3,206,206"
Codec,3,13,70,126,4,44,0.6713615023,8,10,,
Codec,3,13,70,127,4,44,0.6713615023,8,10,,
Codec,3,13,70,128,4,44,0.6713615023,8,10,,
Codec,3,13,70,129,3,33,0.6713615023,8,10,,
Codec,3,13,70,130,3,33,0.6713615023,8,10,,
Codec,3,13,70,131,3,33,0.6713615023,8,10,,
Codec,3,13,70,422,4,44,0.6713615023,8,10,,
Codec,3,13,70,424,4,44,0.6713615023,8,10,,
Codec,3,13,70,434,4,44,0.6713615023,8,10,,
Codec,3,13,70,437,4,44,0.6713615023,8,10,,
Codec,3,13,70,441,4,44,0.6713615023,8,10,,
Codec,3,13,70,449,4,44,0.6713615023,8,10,,
Codec,3,13,70,461,4,44,0.6713615023,8,10,,
Codec,3,13,70,468,4,44,0.6713615023,8,10,,
Codec,3,13,70,508,3,33,0.6713615023,8,10,,
Codec,3,13,70,512,3,33,0.6713615023,8,10,,
Codec,3,13,70,520,3,33,0.6713615023,8,10,,
Codec,3,13,70,465,4,43,0.6662693683,9,27,,
Codec,3,13,70,466,4,43,0.6662693683,9,27,,
Codec,3,13,70,245,7,69,0.6467195386,10,29,,
Codec,3,13,70,967,5,44,0.6203904555,11,30,,
Codec,3,13,70,273,6,52,0.6167883212,12,31,,
Codec,3,13,70,898,5,43,0.6149614961,13,32,,
Codec,3,13,70,162,7,53,0.5843935539,14,33,,
Codec,3,13,70,163,7,53,0.5843935539,14,33,,
Codec,3,13,70,164,7,53,0.5843935539,14,33,,
Codec,3,13,70,601,7,53,0.5843935539,14,33,,
Codec,3,13,70,606,7,53,0.5843935539,14,33,,
Codec,3,13,70,608,7,53,0.5843935539,14,33,,
Codec,3,13,70,229,4,30,0.5820895522,15,39,,
Codec,3,13,70,155,7,52,0.5797598628,16,40,,
Codec,3,13,70,156,7,52,0.5797598628,16,40,,
Codec,3,13,70,157,7,52,0.5797598628,16,40,,
Codec,3,13,70,584,7,52,0.5797598628,16,40,,
Codec,3,13,70,588,7,52,0.5797598628,16,40,,
Codec,3,13,70,589,7,52,0.5797598628,16,40,,
Codec,3,13,70,591,7,52,0.5797598628,16,40,,
Codec,3,13,70,135,5,36,0.5721271394,17,47,,
Codec,3,13,70,136,5,36,0.5721271394,17,47,,
Codec,3,13,70,137,5,36,0.5721271394,17,47,,
Codec,3,13,70,138,5,36,0.5721271394,17,47,,
Codec,3,13,70,514,3,20,0.5531914894,17,51,,
Codec,3,13,70,515,3,20,0.5531914894,17,51,,
Codec,3,13,70,940,9,60,0.5531914894,17,51,,
Codec,3,13,70,99,8,53,0.5516413131,18,54,,
Codec,3,13,70,1093,10,65,0.5469255663,19,55,,
Codec,3,13,70,1014,8,51,0.5421095666,20,56,,
Codec,3,13,70,1016,8,51,0.5421095666,20,56,,
Codec,3,13,70,1017,8,51,0.5421095666,20,56,,
Codec,3,13,70,518,3,19,0.5404814004,21,59,,
Codec,3,13,70,821,3,19,0.5404814004,21,59,,
Codec,3,13,70,822,3,19,0.5404814004,21,59,,
Codec,3,13,70,937,10,61,0.5311453449,22,62,,
Codec,3,13,70,92,11,67,0.5307739183,23,63,,
Codec,3,13,70,93,11,67,0.5307739183,23,63,,
Codec,3,13,70,95,11,67,0.5307739183,23,63,,
Codec,3,13,70,97,11,67,0.5307739183,23,63,,
Codec,3,13,70,190,11,67,0.5307739183,23,63,,
Codec,3,13,70,254,11,67,0.5307739183,23,63,,
Codec,3,13,70,890,11,67,0.5307739183,23,63,,
Codec,3,13,70,907,11,67,0.5307739183,23,63,,
Codec,3,13,70,908,11,67,0.5307739183,23,63,,
Codec,3,13,70,909,11,67,0.5307739183,23,63,,
Codec,3,13,70,914,11,67,0.5307739183,23,63,,
Codec,3,13,70,928,11,67,0.5307739183,23,63,,
Codec,3,13,70,1039,11,67,0.5307739183,23,63,,
Codec,3,13,70,1101,11,67,0.5307739183,23,63,,
Codec,3,13,70,102,7,42,0.527027027,24,77,,
Codec,3,13,70,105,9,53,0.5223654284,25,78,,
Codec,3,13,70,106,9,53,0.5223654284,25,78,,
Codec,3,13,70,272,9,53,0.5223654284,25,78,,
Codec,3,13,70,275,9,53,0.5223654284,25,78,,
Codec,3,13,70,87,12,70,0.52,26,82,,
Codec,3,13,70,88,12,70,0.52,26,82,,
Codec,3,13,70,921,12,70,0.52,26,82,,
Codec,3,13,70,924,12,70,0.52,26,82,,
Codec,3,13,70,925,12,70,0.52,26,82,,
Codec,3,13,70,957,9,52,0.517611026,27,87,,
Codec,3,13,70,818,4,23,0.5164075993,28,88,,
Codec,3,13,70,291,3,17,0.5127610209,29,89,,
Codec,3,13,70,364,3,17,0.5127610209,29,89,,
Codec,3,13,70,367,3,17,0.5127610209,29,89,,
Codec,3,13,70,371,3,17,0.5127610209,29,89,,
Codec,3,13,70,376,3,17,0.5127610209,29,89,,
Codec,3,13,70,377,3,17,0.5127610209,29,89,,
Codec,3,13,70,380,3,17,0.5127610209,29,89,,
Codec,3,13,70,385,3,17,0.5127610209,29,89,,
Codec,3,13,70,831,3,17,0.5127610209,29,89,,
Codec,3,13,70,832,3,17,0.5127610209,29,89,,
Codec,3,13,70,847,3,17,0.5127610209,29,89,,
Codec,3,13,70,876,3,17,0.5127610209,29,89,,
Codec,3,13,70,1012,10,53,0.4960403168,30,101,,
Codec,3,13,70,1013,10,53,0.4960403168,30,101,,
Codec,3,13,70,1023,10,53,0.4960403168,30,101,,
Codec,3,13,70,98,11,58,0.4947506562,31,104,,
Codec,3,13,70,1043,11,58,0.4947506562,31,104,,
Codec,3,13,70,1044,11,58,0.4947506562,31,104,,
Codec,3,13,70,1053,11,58,0.4947506562,31,104,,
