Bugname,id,total pass,total fail,line no,pass cover,fail cover,suspiciousness_score,rank,new_rank,,,
Csv,3,57,61,58,57,61,0.5,1,1,,"Csv,3,25,25",
Csv,3,57,61,59,57,61,0.5,1,1,,,
Csv,3,57,61,60,57,61,0.5,1,1,,,
Csv,3,57,61,61,57,61,0.5,1,1,,,
Csv,3,57,61,62,57,61,0.5,1,1,,,
Csv,3,57,61,63,57,61,0.5,1,1,,,
Csv,3,57,61,64,57,61,0.5,1,1,,,
Csv,3,57,61,65,57,61,0.5,1,1,,,
Csv,3,57,61,69,57,61,0.5,1,1,,,
Csv,3,57,61,109,3,3,0.4830508475,2,10,,,
Csv,3,57,61,111,3,3,0.4830508475,2,10,,,
Csv,3,57,61,73,20,19,0.4702561876,3,12,,,
Csv,3,57,61,156,55,33,0.3592436975,4,13,,,
Csv,3,57,61,171,55,33,0.3592436975,4,13,,,
Csv,3,57,61,175,55,33,0.3592436975,4,13,,,
Csv,3,57,61,179,55,33,0.3592436975,4,13,,,
Csv,3,57,61,133,57,33,0.3510638298,5,17,,,
Csv,3,57,61,137,57,33,0.3510638298,5,17,,,
Csv,3,57,61,163,57,33,0.3510638298,5,17,,,
Csv,3,57,61,167,57,33,0.3510638298,5,17,,,
Csv,3,57,61,102,2,1,0.3184357542,6,21,,,"25,25"
Csv,3,57,61,89,11,3,0.203087886,7,22,,,
Csv,3,57,61,90,11,3,0.203087886,7,22,,,
Csv,3,57,61,106,7,1,0.117768595,8,24,,,
Csv,3,57,61,1_1,0,0,0,9,25,,,
Csv,3,57,61,1_1,0,0,0,9,25,,,
Csv,3,57,61,1_3,0,0,0,9,25,,,
Csv,3,57,61,91,3,0,0,9,25,,,
Csv,3,57,61,92,3,0,0,9,25,,,
Csv,3,57,61,93,1,0,0,9,25,,,
Csv,3,57,61,94,1,0,0,9,25,,,
Csv,3,57,61,101,2,0,0,9,25,,,
Csv,3,57,61,103,1,0,0,9,25,,,
Csv,3,57,61,104,2,0,0,9,25,,,
Csv,3,57,61,105,1,0,0,9,25,,,
Csv,3,57,61,107,1,0,0,9,25,,,
Csv,3,57,61,108,1,0,0,9,25,,,
Csv,3,57,61,117,7,0,0,9,25,,,
Csv,3,57,61,118,7,0,0,9,25,,,
Csv,3,57,61,119,6,0,0,9,25,,,
Csv,3,57,61,121,7,0,0,9,25,,,
Csv,3,57,61,122,6,0,0,9,25,,,
Csv,3,57,61,135,19,0,0,9,25,,,
Csv,3,57,61,146,10,0,0,9,25,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,"Csv,3,9,9",,,,,,,,
