Bugname,id,total pass,total fail,line no,pass cover,fail cover,suspiciousness_score,rank,,,
Csv,4,54,50,288,1,50,0.9818181818,1,,,
Csv,4,54,50,264,1,15,0.9418604651,2,,,
Csv,4,54,50,265,1,15,0.9418604651,2,,,
Csv,4,54,50,277,4,22,0.855907781,3,,,
Csv,4,54,50,299,4,15,0.801980198,4,,,
Csv,4,54,50,170,28,50,0.6585365854,5,,,
Csv,4,54,50,172,28,50,0.6585365854,5,,,
Csv,4,54,50,169,30,50,0.6428571429,6,,,
Csv,4,54,50,367,20,32,0.633431085,7,,,
Csv,4,54,50,241,45,50,0.5454545455,8,,,
Csv,4,54,50,242,45,50,0.5454545455,8,,,
Csv,4,54,50,243,45,50,0.5454545455,8,,,
Csv,4,54,50,244,45,50,0.5454545455,8,,,
Csv,4,54,50,325,45,50,0.5454545455,8,,,"Csv,4,1,1"
Csv,4,54,50,326,45,50,0.5454545455,8,,,
Csv,4,54,50,327,45,50,0.5454545455,8,,,
Csv,4,54,50,351,45,50,0.5454545455,8,,,
Csv,4,54,50,239,46,50,0.54,9,,,
Csv,4,54,50,238,47,50,0.5346534653,10,,,
Csv,4,54,50,355,20,16,0.4635193133,11,,,
Csv,4,54,50,313,16,10,0.4029850746,12,,,
Csv,4,54,50,314,16,10,0.4029850746,12,,,
Csv,4,54,50,315,16,10,0.4029850746,12,,,
Csv,4,54,50,316,16,10,0.4029850746,12,,,
Csv,4,54,50,318,16,10,0.4029850746,12,,,
Csv,4,54,50,437,23,11,0.3405963303,13,,,
Csv,4,54,50,251,42,17,0.3041749503,13,,,
Csv,4,54,50,248,43,17,0.2992177314,14,,,
Csv,4,54,50,249,43,17,0.2992177314,14,,,
Csv,4,54,50,250,43,17,0.2992177314,14,,,
Csv,4,54,50,455,43,17,0.2992177314,14,,,
Csv,4,54,50,456,43,17,0.2992177314,14,,,
Csv,4,54,50,457,43,17,0.2992177314,14,,,
Csv,4,54,50,422,45,17,0.2897727273,15,,,
Csv,4,54,50,423,45,17,0.2897727273,15,,,
Csv,4,54,50,424,45,17,0.2897727273,15,,,
Csv,4,54,50,425,45,17,0.2897727273,15,,,
Csv,4,54,50,426,45,17,0.2897727273,15,,,
Csv,4,54,50,427,45,17,0.2897727273,15,,,
Csv,4,54,50,428,45,17,0.2897727273,15,,,
Csv,4,54,50,454,45,17,0.2897727273,15,,,
Csv,4,54,50,460,45,17,0.2897727273,15,,,
Csv,4,54,50,432,43,13,0.2461430575,16,,,
Csv,4,54,50,433,43,13,0.2461430575,16,,,
Csv,4,54,50,434,43,13,0.2461430575,16,,,
Csv,4,54,50,435,42,11,0.2204899777,17,,,
Csv,4,54,50,436,42,11,0.2204899777,17,,,
Csv,4,54,50,439,42,11,0.2204899777,17,,,
Csv,4,54,50,429,37,2,0.05515832482,18,,,
Csv,4,54,50,430,37,2,0.05515832482,18,,,
Csv,4,54,50,431,37,2,0.05515832482,18,,,
Csv,4,54,50,452,37,2,0.05515832482,18,,,
Csv,4,54,50,149,8,0,0,19,,,
Csv,4,54,50,150,7,0,0,19,,,
Csv,4,54,50,152,6,0,0,19,,,
Csv,4,54,50,196,3,0,0,19,,,
Csv,4,54,50,197,2,0,0,19,,,
Csv,4,54,50,198,1,0,0,19,,,
Csv,4,54,50,253,1,0,0,19,,,
Csv,4,54,50,328,9,0,0,19,,,
Csv,4,54,50,330,9,0,0,19,,,
Csv,4,54,50,331,9,0,0,19,,,
Csv,4,54,50,333,5,0,0,19,,,
Csv,4,54,50,334,5,0,0,19,,,
Csv,4,54,50,335,5,0,0,19,,,
Csv,4,54,50,338,4,0,0,19,,,
Csv,4,54,50,339,2,0,0,19,,,
Csv,4,54,50,341,4,0,0,19,,,
Csv,4,54,50,345,9,0,0,19,,,
Csv,4,54,50,346,9,0,0,19,,,
Csv,4,54,50,347,9,0,0,19,,,
Csv,4,54,50,371,20,0,0,19,,,
Csv,4,54,50,372,20,0,0,19,,,
Csv,4,54,50,380,17,0,0,19,,,
Csv,4,54,50,381,1,0,0,19,,,
Csv,4,54,50,383,17,0,0,19,,,
Csv,4,54,50,384,17,0,0,19,,,
Csv,4,54,50,387,17,0,0,19,,,
Csv,4,54,50,391,20,0,0,19,,,
Csv,4,54,50,392,1,0,0,19,,,
Csv,4,54,50,394,19,0,0,19,,,
Csv,4,54,50,395,19,0,0,19,,,
Csv,4,54,50,397,19,0,0,19,,,
Csv,4,54,50,399,6,0,0,19,,,
Csv,4,54,50,400,6,0,0,19,,,
Csv,4,54,50,401,1,0,0,19,,,
Csv,4,54,50,405,19,0,0,19,,,
Csv,4,54,50,409,1,0,0,19,,,
Csv,4,54,50,442,6,0,0,19,,,
Csv,4,54,50,443,6,0,0,19,,,
Csv,4,54,50,444,6,0,0,19,,,
Csv,4,54,50,446,4,0,0,19,,,
Csv,4,54,50,448,6,0,0,19,,,
Csv,4,54,50,449,6,0,0,19,,,
Csv,4,54,50,450,6,0,0,19,,,
