Bugname,total pass,total fail,line no,pass cover,fail cover,suspiciousness_score,rank
LCS_LENGTH,9,8,24,0,8,1,1
LCS_LENGTH,9,8,25,0,8,1,1
LCS_LENGTH,9,8,26,0,8,1,1
LCS_LENGTH,9,8,33,0,8,1,1
LCS_LENGTH,9,8,35,0,8,1,1
LCS_LENGTH,9,8,36,0,8,1,1
LCS_LENGTH,9,8,37,0,8,1,1
LCS_LENGTH,9,8,38,0,8,1,1
LCS_LENGTH,9,8,39,0,8,1,1
LCS_LENGTH,9,8,40,0,8,1,1
LCS_LENGTH,9,8,41,0,6,1,1
LCS_LENGTH,9,8,42,0,6,1,1
LCS_LENGTH,9,8,43,0,6,1,1
LCS_LENGTH,9,8,17,1,8,0.9,14
LCS_LENGTH,9,8,20,1,8,0.9,14
LCS_LENGTH,9,8,21,1,8,0.9,14
LCS_LENGTH,9,8,22,1,8,0.9,14
LCS_LENGTH,9,8,23,1,8,0.9,14
LCS_LENGTH,9,8,31,1,8,0.9,14
LCS_LENGTH,9,8,32,1,8,0.9,14
LCS_LENGTH,9,8,49,1,8,0.9,14
LCS_LENGTH,9,8,50,1,8,0.9,14
LCS_LENGTH,9,8,51,1,8,0.9,14
LCS_LENGTH,9,8,52,1,8,0.9,14
LCS_LENGTH,9,8,54,1,8,0.9,14
LCS_LENGTH,9,8,56,0,0,0,26
