Bugname,total pass,total fail,line no,pass cover,fail cover,suspiciousness_score,rank
SHUNTING_YARD,8,4,24,0,4,1,1
SHUNTING_YARD,8,4,25,0,4,1,1
SHUNTING_YARD,8,4,27,0,4,1,1
SHUNTING_YARD,8,4,29,0,4,1,1
SHUNTING_YARD,8,4,30,0,4,1,1
SHUNTING_YARD,8,4,36,0,4,1,1
SHUNTING_YARD,8,4,40,0,4,1,1
SHUNTING_YARD,8,4,15,1,4,0.8888888889,8
SHUNTING_YARD,8,4,16,1,4,0.8888888889,8
SHUNTING_YARD,8,4,17,1,4,0.8888888889,8
SHUNTING_YARD,8,4,18,1,4,0.8888888889,8
SHUNTING_YARD,8,4,19,1,4,0.8888888889,8
SHUNTING_YARD,8,4,21,1,4,0.8888888889,8
SHUNTING_YARD,8,4,22,1,4,0.8888888889,8
SHUNTING_YARD,8,4,31,0,0,0,15
SHUNTING_YARD,8,4,37,0,0,0,15
